optimizer,lr,batch size,num iteration,duration,train loss,train accuracy,test loss,test accuracy,sharpness train,non uniformity train,sharpness test,non uniformity test
sgd,0.1,50,620,132,0.0001,100,1.41603,82.7,0,2,0,0
adagrad,0.1,50,740,165,0.0001,100,2.07038,80.2,1,10,0,0
adagrad,0.01,50,220,50,0.0001,100,1.45634,82.9,1,5,0,0
sgd,0.01,50,7180,1395,0.0001,100,1.85919,81.2,2,9,0,0
adagrad,0.75,50,19999,4163,0.0006,100,61.53302,73,427,3816,0,0
adagrad,0.025,100,360,43,9.00E-05,100,1.62178,82.4,0.3,3,0,0
sgd,0.025,100,5720,571,0.0001,100,1.81146,81.1,1.4,6.3,0,0
adagrad,0.001,5,6000,10159,0.0001,100,1.49772,82.5,1,8,0,0
adagrad,0.01,5,200,447,8.00E-05,100,1.7021,82.9,1,8,0,0
sgd,0.01,5,600,642,0.0001,100,1.63552,82,1,4,0,0
gd,0.1,1000,9999,940,0.00017,100,1.4096,82.5,1,5,0,0
lbfgs,0.1,1000,200,175,1.00E-05,100,6.37919,79.6,2,14,0,0
adagrad,0.1,1000,9999,842,0.01953,99.2,3.18709,73.4,57,625,0,0
lbfgs,0.05,1000,200,259,0,100,7.63301,79.7,3,22,0,0
gd,0.05,1000,9999,828,0.00044,100,1.37892,81.9,3,16,0,0
adagrad,0.05,1000,9999,808,0.00038,100,2.95142,78.4,12,102,0,0
adagrad,0.1,1000,19999,1927,0.40693,81.6,2.5034,65.1,26,43,0,0
lbfgs,0.1,1000,200,215,0,100,7.62663,79,1,10,0,0
gd,0.1,1000,14600,1343,0.0001,100,1.46687,82.7,1,3,0,0
gd,0.025,1000,19999,1789,0.00044,100,1.53939,80.9,5,24,0,0
lbfgs,0.025,1000,200,339,1.00E-05,100,4.64538,80.2,4,31,0,0
adagrad,0.025,1000,1400,125,9.00E-05,100,1.94676,83.1,1,7,0,0
adagrad,0.001,25,6520,2818,0.0001,100,1.50802,82.5,1,8,0,0
gd,0.01,1000,19999,1262,0.00213,100,1.34798,80.6,33,140,0,0
adagrad,0.1,100,1120,144,0.0001,100,2.41243,78.9,1,11,0,0
sgd,0.1,100,1400,145,0.0001,100,1.50334,82.3,1,3,0,0
adagrad,0.01,100,280,38,0.0001,100,1.47581,82.7,1,9,0,0
sgd,0.01,100,14600,1492,0.0001,100,1.85061,80.8,2,9,0,0
adagrad,0.75,100,19999,2637,1.17764,51.8,13.10159,38.9,125,1711,0,0
adagrad,0.075,100,1001,126,0.0001,100,2.42854,80.5,1.1,10.8,0,0
sgd,0.075,100,2001,205,9.00E-05,100,1.55103,82.3,0.6,3.3,0,0
adagrad,0.05,100,1401,183,9.00E-05,100,2.70933,80.1,0.7,8.5,0,0
sgd,0.05,100,2801,285,0.0001,100,1.63036,82.1,0.8,4.3,0,0
adagrad,0.01,100,401,52,4.00E-05,100,1.61301,83.1,0.2,1.8,0,0
sgd,0.01,100,14401,1476,0.0001,100,1.9342,80.4,2.2,9.1,0,0
adagrad,0.1,100,4201,557,9.00E-05,100,2.52118,79.9,3.6,33.2,0,0
sgd,0.1,100,1401,141,9.00E-05,100,1.48588,82.6,0.5,2.8,0,0
sgd,0.025,100,5801,588,0.0001,100,1.79338,81.3,1.4,6,0,0
adagrad,0.025,100,601,79,0.0001,100,1.85175,82,0.7,6.7,0,0
gd,0.075,1000,19401,1248,0.0001,100,1.52488,82.3,0.7,3.8,0,0
adagrad,0.075,1000,20000,1282,0.00362,99.9,4.07565,76.8,5.6,71.1,0,0
lbfgs,0.075,1000,201,234,0,100,11.26985,79.4,0,0,0,0
adagrad,0.05,1000,20000,1335,0.01698,99.7,4.2875,75.2,5.4,45,0,0
lbfgs,0.05,1000,201,259,0,100,8.58821,79.2,0,0.3,0,0
gd,0.05,1000,20000,1427,0.00016,100,1.54815,81.8,1.4,7.1,0,0
adagrad,0.01,1000,1601,117,8.00E-05,100,1.33481,83.4,0.5,4.2,0,0
gd,0.01,1000,20000,1428,0.00207,100,1.31649,81.1,29.5,126.6,0,0
